"col-xs-2-4 href","ie3A+n","vioxXd","ZEgDH9","r6HknA","zGGwiV"
"https://shopee.co.id/BRODO-Vulcan-Hi-Olive-OWS-i.24892614.18776514630?sp_atk=bb78450f-cb9d-4c54-9e19-dfd0a22dfb36&xptdk=bb78450f-cb9d-4c54-9e19-dfd0a22dfb36","BRODO - Vulcan Hi Olive OWS","Rp448.000","295.000","33 Terjual","KOTA BANDUNG"
"https://shopee.co.id/Vans-Old-Skool-Classic-Navy-White-BNIB-ORIGINAL-i.517735845.10435164042?sp_atk=59927839-dec6-4b7f-9625-3a266069d1ca&xptdk=59927839-dec6-4b7f-9625-3a266069d1ca","Vans Old Skool Classic Navy White - BNIB ORIGINAL","Rp700.000","499.000","5 Terjual","KAB. SLEMAN"
"https://shopee.co.id/SEPATU-VANS-OLD-SKOOL-CLASSIC-BLACK-WHITE-RESMI-PT.-NAVYA-i.376013205.23541679118?sp_atk=1d95134c-65ce-44f5-a9a3-4f14ab9c6fec&xptdk=1d95134c-65ce-44f5-a9a3-4f14ab9c6fec","SEPATU VANS OLD SKOOL CLASSIC BLACK WHITE RESMI PT. NAVYA","Rp1.100.000","999.999","1 Terjual","KAB. SLEMAN"
"https://shopee.co.id/GIFLY-Mijin-Sneakers-Wanita-Sepatu-Sport-Shoes-J226-i.293697544.15975033629?sp_atk=44463c0b-12f7-4325-a488-96997322d5aa&xptdk=44463c0b-12f7-4325-a488-96997322d5aa","GIFLY Mijin Sneakers Wanita Sepatu Sport Shoes J226","Rp499.000","169.000","288 Terjual","KAB. TANGERANG"
"https://shopee.co.id/SEPATU-ADIDAS-GRAND-COURT-SE-FULLWHITE-ORIGINAL-100--i.304365450.20944735960?sp_atk=3a9c7850-d96f-4c02-97d3-560b12183b5b&xptdk=3a9c7850-d96f-4c02-97d3-560b12183b5b","SEPATU ADIDAS GRAND COURT SE FULLWHITE ORIGINAL 100%","","280.000","126 Terjual","KOTA TANGERANG SELATAN"
"https://shopee.co.id/BRODO-X-Dian-Sastro-Sneakers-VTG-V2-Wanita-Cita-Indigo-i.24892614.18613779615?sp_atk=c50b26c4-dbee-4847-b21e-4db1225435a7&xptdk=c50b26c4-dbee-4847-b21e-4db1225435a7","BRODO X Dian Sastro - Sneakers VTG V2 Wanita Cita Indigo","Rp549.000","494.000","56 Terjual","KOTA BANDUNG"
"https://shopee.co.id/BRODO-Sneakers-VTG-V2-Hi-Limestone-Grey-IS-i.24892614.15996857565?sp_atk=e059f700-2530-46b5-8b60-2d95f725f12c&xptdk=e059f700-2530-46b5-8b60-2d95f725f12c","BRODO - Sneakers VTG V2 Hi Limestone Grey IS","Rp688.000","429.000","86 Terjual","KOTA BANDUNG"
"https://shopee.co.id/Adidas-TENNIS-Grand-Court-SE-Shoes-Pria-Putih-FY8169-Original-i.640581328.13276635297?sp_atk=0fc75c0b-2660-491b-a900-11ed5879f4ad&xptdk=0fc75c0b-2660-491b-a900-11ed5879f4ad","Adidas TENNIS Grand Court SE Shoes Pria Putih FY8169 Original","Rp1.100.000","495.000","3 Terjual","KOTA YOGYAKARTA"
"https://shopee.co.id/Adidas-TENNIS-Sepatu-Court-Lifestyle-Vegan-Nova-GZ1779-GZ1779-Original-i.640581328.11586018203?sp_atk=2937c4d9-ebc3-4741-864f-9b90ca19cfdb&xptdk=2937c4d9-ebc3-4741-864f-9b90ca19cfdb","Adidas TENNIS Sepatu Court Lifestyle Vegan Nova GZ1779 GZ1779 Original","Rp1.100.000","407.000","9 Terjual","KOTA YOGYAKARTA"
"https://shopee.co.id/ADIDAS-TENNIS-H02062-GRAND-COURT-i.15687229.23916992689?sp_atk=8702df2a-bed3-45eb-a811-95d8b4c61061&xptdk=8702df2a-bed3-45eb-a811-95d8b4c61061","ADIDAS TENNIS H02062 GRAND COURT","","540.750","4 Terjual","KOTA SURABAYA"
"https://shopee.co.id/BRODO-Vantage-V2-Hi-Natural-White-WS-i.24892614.7979747764?sp_atk=585c2645-d4a3-4dee-aef7-273fcf40275b&xptdk=585c2645-d4a3-4dee-aef7-273fcf40275b","BRODO - Vantage V2 Hi Natural White WS","Rp445.000","375.000","3RB Terjual","KOTA BANDUNG"
"https://shopee.co.id/Adidas-TENNIS-Grand-Court-Floudfoam-Lifestyle-Court-Comfort-Shoes-GW9197-Original-i.640581328.12075401235?sp_atk=f4cf6a12-c5bb-4552-a6c4-4ba673dfb81f&xptdk=f4cf6a12-c5bb-4552-a6c4-4ba673dfb81f","Adidas TENNIS Grand Court Floudfoam Lifestyle Court Comfort Shoes GW9197 Original","Rp1.100.000","484.000","11 Terjual","KOTA YOGYAKARTA"
"https://shopee.co.id/adidas-RUNNING-Sepatu-Galaxy-6-GW4141-i.270510657.20536434413?sp_atk=a64fa517-0a02-427e-b3ed-77adc26f2ab7&xptdk=a64fa517-0a02-427e-b3ed-77adc26f2ab7","adidas RUNNING Sepatu Galaxy 6 GW4141","Rp750.000","637.500","180 Terjual","KOTA BEKASI"
"https://shopee.co.id/Adidas-SKATEBOARDING-Sepatu-Lifstyle-Modern-Futurevulc-GX4194-Original-i.640581328.16801361764?sp_atk=b29ede28-f790-49ab-88e4-c1f2d3de329c&xptdk=b29ede28-f790-49ab-88e4-c1f2d3de329c","Adidas SKATEBOARDING Sepatu Lifstyle Modern Futurevulc GX4194 Original","Rp1.000.000","490.000","3 Terjual","KOTA YOGYAKARTA"
"https://shopee.co.id/adidas-RUNNING-Sepatu-Showtheway-2.0-GX1707-i.270510657.21530956811?sp_atk=10b9427a-5913-4f6f-9fd5-8a697e232326&xptdk=10b9427a-5913-4f6f-9fd5-8a697e232326","adidas RUNNING Sepatu Showtheway 2.0 GX1707","","800.000","133 Terjual","KOTA BEKASI"